##NAMES=Lorandite
##RRUFFID=R060961
##IDEAL CHEMISTRY=TlAsS_2_
##LOCALITY=Allchar, Macedonia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep red prisms or tabular crystals, associated with prismatic realgar.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060961
687.2596, 14.77362
687.7417, 12.30457
688.2238, 10.50726
688.7059, 11.71692
689.1880, 15.65283
689.6702, 16.87671
690.1523, 13.79358
690.6344, 9.440735
691.1165, 7.614136
691.5986, 7.632202
692.0807, 7.934570
692.5629, 6.184814
693.0450, 6.304749
693.5271, 12.05341
694.0092, 21.50690
694.4913, 29.41785
694.9734, 37.26923
695.4556, 40.13940
695.9377, 34.02545
696.4198, 20.41357
696.9019, 15.17590
697.3840, 21.00726
697.8661, 27.17218
698.3483, 26.42584
698.8304, 20.20129
699.3125, 19.45807
699.7946, 24.40741
700.2767, 29.60474
700.7589, 28.94299
