##NAMES=Philipsbornite
##RRUFFID=R070065
##IDEAL CHEMISTRY=Pb^2+^Al_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_
##LOCALITY=Hat Yai Province, Thailand
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Colorless pyramidal crystals, associated with yellow mimetite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070065
661.7071, 30.99854
662.1892, 42.24536
662.6713, 49.42651
663.1534, 40.02026
663.6356, 27.20312
664.1177, 20.09302
664.5998, 19.62451
665.0819, 19.27612
665.5640, 17.03979
666.0461, 10.75195
666.5283, 0.8461910
667.0104, 19.72974
667.4925, 30.14380
667.9746, 31.70874
668.4567, 28.67041
668.9388, 23.47974
669.4210, 15.83594
669.9031, 10.41748
670.3852, 8.675537
670.8673, 8.115723
671.3494, 5.792236
671.8315, 1.160156
672.3137, 6.025146
672.7958, 19.99536
673.2779, 30.01318
673.7600, 24.39160
674.2421, 9.798584
674.7242, 1.573242
675.2064, 4.361572
675.6885, 12.89380
676.1706, 30.80664
676.6527, 56.29199
677.1348, 67.72363
677.6169, 60.56787
678.0991, 48.54028
678.5812, 34.35693
679.0633, 18.65869
679.5454, 24.03516
680.0275, 52.62622
680.5096, 83.79907
